modCodeStr,dbCodeStr,season,exportDate,fips_st,ID,mean,sd,q_025,q_5,q_975,mode,y,y1
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,27,202,1.5979238596127376,0.011069388300356984,1.5767925040588477,1.5979439459252966,1.6182587875267158,1.5979356271775411,3.94254905982239,1.5978812021281696
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,29,203,1.9446407151331944,0.01108080646834258,1.9232156856107792,1.9447341186294373,1.9647565409260492,1.9447624882026506,5.99188471047221,1.9447501494404351
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,28,204,3.7297182606218238,0.011188382873488441,3.707126923973951,3.730075964062995,3.7491281946530037,3.7302351312312143,40.6946319389848,3.7303723900382955
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,37,205,3.795408426178998,0.011157653651073003,3.773082009815423,3.7957126023677614,3.8149456432094495,3.7958442269935504,43.5205078276242,3.795949933072391
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,38,206,2.5747235130169384,0.011132612825706536,2.5526546454258723,2.5749739605818203,2.5944060316017867,2.5750766853667586,12.1332926784423,2.5751504320809087
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,31,207,3.396713956509918,0.011161472327145702,3.3743519567680096,3.397025120418753,3.416232612736963,3.397160159664709,28.8823992396498,3.397269652879425
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,33,208,2.522214995945871,0.011138055631266554,2.5001039867765904,2.522473117065799,2.541878587791018,2.522577070370683,11.4615840050886,2.5226506324935007
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,34,209,3.0276939818097666,0.011109724243504464,3.005867316169514,3.027885419885392,3.0475357084921466,3.0279583806747707,19.655833184,3.027997758161529
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,35,210,1.6939597521414076,0.011089616000414172,1.6723870375844292,1.6940891985671633,1.713972369174563,1.6941334334632425,4.44195935287751,1.6941391711816554
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,32,211,2.5848485034661546,0.01108999889807601,2.5632811293908655,2.5849763264818537,2.604865548906206,2.585019810468942,12.2636154884834,2.585024608865645
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,36,212,2.901597905654255,0.011218512168121773,2.8787733199413936,2.902000070252569,2.9209233686159726,2.9021800612992616,17.2167242360573,2.902340086208765
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,39,213,2.4527440097077324,0.01106961269981409,2.4316043169738335,2.4527667291112922,2.4730730644818726,2.4527601886739383,10.6197731219106,2.4527082264406066
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,40,214,3.553394770728318,0.011137544536216456,3.5312626604470325,3.5536577527860613,3.5730408188325593,3.5537668226499193,33.9475009747834,3.5538469632559395
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,41,215,2.678873838411204,0.011107417837197592,2.6570662034156265,2.6790614029590136,2.698725510201887,2.679134043323383,13.5730473907495,2.679173753501909
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,42,216,1.206071193751587,0.011139689209260813,1.1863195776301423,1.2057152194930232,1.2278111520117976,1.2055151572720029,2.33763331218105,1.2052619666532978
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,44,217,2.0629755212463334,0.011076929224145684,2.0416759775816353,2.06303648380823,2.0831890211552713,2.063046899899428,6.86964299802209,2.063012699014396
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,45,218,4.216964733165875,0.011078854959435756,4.195597641471379,4.2170435264552175,4.2371242947146355,4.217064810749723,66.8326955647184,4.217044314176018
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,46,219,3.869050114957174,0.01115086514922145,3.846787508770366,3.8693406393061798,3.888623111413838,3.8694642650019135,46.921320806697,3.869560516171443
